pvalue	Description	condition	NES	geneID
1.1379960511337788e-6	mitochondrial translation	d2_d1	-1.6684475861847239	MTF2/MBA1/MRPL20/MSW1/MTG1/MRPS35/COA3/MRPL37/PET309/MSS51/MRP7/PET122/MST1/MRPL17/MDM38/MRPL11/MHR1/MRPL15/MRP17/MRPL27/QRI5/TUF1/MSE1/MRPL4/MRPL49/DIA4/MRPL51/MSF1/MRPL38/MRPL40/NAM2/RSM22/MRPS5/MRPL13/MRPL23
1.9660104000714492e-4	mitochondrial genome maintenance	d2_d1	-1.6502217013109834	MDJ1/MHR1/RAD52/CRD1/ILM1/MRPL51/MDM34/RAD51/GGC1
0.0011431199666283815	regulation of translational fidelity	d2_d1	-1.644860309010228	SSZ1/NAM2/CTK3/RPS9B/ZUO1
0.0014181958728378154	catabolite repression	d2_d1	-1.628611400936923	VPS25/VPS36/UME6
5.010146630112256e-4	rDNA heterochromatin formation	d2_d1	-1.6182442690373848	PHO23/CTI6/ADA2/LRS4/DEP1
5.010146630112256e-4	facultative heterochromatin formation	d2_d1	-1.6182442690373848	PHO23/CTI6/ADA2/LRS4/DEP1
1.1246683365375579e-4	ribosomal small subunit biogenesis	d2_d1	-1.6158176686309984	RPS6A/TSR3/GEP3/RPS1A/RPS18B/TSR2/RPS16A/RPS0A/TOM1/RPS28B/RPS19A/HCR1/RPS10B/RPS6B/LOC1/RPS7A/RPS27B/RPS17A/RPS9B/EFG1
0.0035281053300402856	ATP export	d2_d1	-1.5948975918885597	VPS24/SNF7/BUL1/VPS27/VPS25/STP22/VPS36/VPS20
5.931191279898789e-4	RNA phosphodiester bond hydrolysis	d2_d1	-1.5914941604191544	RPS18B/RPS0A/NUC1/MRPL15/TOM1/CCR4/SSD1/RPL37B/RPB9/LOC1/POP2/RPS27B
0.0020974154225081904	tRNA wobble uridine modification	d2_d1	-1.5802609643022347	SAP190/KTI11/ATS1/ELP2/NCS2/KTI12/ELP3/UBA4/SLM3/ELP4/ELP6
