name,d1,d2,g1,g2
AAC1,5857,4949,3399,4859
AAC3,2182,7250,1580,12191
AAD3,4121,746,6555,1143
AAD6,1862,1187,895,859
AAH1,8422,13843,9143,7205
AAN1,401,129,152,104
AAP1,2407,796,5554,997
AAT1,2242,1999,1664,2000
AAT2,202,2,81,4
ABP1,1677,1412,651,1090
ABP140,1422,1319,540,882
ABZ1,8883,2563,19216,4761
ABZ2,57,39,26,31
ACA1,708,563,228,431
ACB1,1568,1115,660,767
ACF2,1348,859,701,497
ACF4,19038,43583,26147,40217
ACH1,2,0,0,0
ACK1,2210,2256,957,1380
ACL4,853,152,392,116
ACM1,2675,1888,1601,1579
ACO2,585,360,260,403
ACS1,2908,619,3229,703
ADA2,108,0,29,0
ADD37,21,0,13,0
ADD66,5170,2345,7097,4019
ADE1,27,0,18,0
ADE16,9940,15089,12277,8427
ADE17,38690,61928,48801,34100
ADE3,40,0,20,0
ADE4,8,0,8,0
ADE6,4,0,0,0
ADH2,775,243,304,330
ADH4,1218,474,411,346
ADH5,1347,1372,557,1449
ADH6,3747,2635,1589,2596
ADI1,1814,1246,780,1022
ADK1,70,0,42,0
ADK2,8446,4803,3825,3653
ADO1,35,0,17,0
ADP1,465,254,191,196
ADR1,30,0,18,18
ADY2,1168,660,1077,951
ADY3,4037,3963,1864,3727
ADY4,2100,1335,902,846
AEP1,611,18,104,8
AFB1,1106,812,571,583
AFG1,2307,1715,872,1546
AFG3,16,0,0,0
AFI1,1097,115,985,837
AFR1,1669,1323,599,879
AFT2,8,2,4,8
AGC1,261,6,252,37
AGE1,3446,2069,1366,1558
AGE2,4028,12460,3939,24480
AGP1,2,0,0,0
AGP2,6,0,0,0
AGP3,999,436,484,293
AGX1,3216,840,5233,1548
AHA1,922,195,357,523
AHC1,3173,1869,4590,4259
AHC2,3,1,2,3
AHP1,4516,2349,2748,1974
AHT1,2156,759,3159,1910
AIF1,475,44,152,122
AIM11,504,160,156,78
AIM14,7780,5190,2784,4468
AIM17,3261,1514,4146,2530
AIM18,809,1378,444,722
AIM19,4103,1799,6969,2353
AIM2,274,28,229,97
AIM20,10696,7959,4676,6067
AIM21,338,325,102,190
AIM24,2202,1191,864,639
AIM25,5385,1215,2719,2700
AIM26,837,195,596,481
AIM29,548,31,242,16
AIM3,0,0,0,2
AIM32,14907,23038,17522,11918
AIM33,2657,2100,1039,1568
AIM36,210,151,27,74
AIM39,3774,4547,2705,2841
AIM41,4063,9845,3049,16973
AIM46,2713,3623,3633,9368
AIM7,2,0,0,2
AIM9,1824,4233,1524,8186
AIP1,25435,100487,37127,81762
AIP5,2384,1203,1040,1185
AIR1,2661,2696,1342,2302
AIT1,1402,557,572,484
AKL1,458,151,150,104
AKR2,1282,1307,556,1174
ALB1,944,842,355,590
ALD2,1397,1154,633,1135
ALD3,1300,1004,703,928
ALD4,1302,945,549,731
ALD5,2749,2173,1817,3398
ALF1,1389,76,1108,96
ALG12,2370,2111,1243,2090
ALG6,1075,87,393,295
ALO1,2208,515,1647,343
ALP1,342,30,90,97
ALR2,2402,2160,1318,2111
ALT1,3348,1364,3022,270
ALT2,1137,4,942,113
ALY1,4504,2782,4699,2812
ALY2,1670,1392,1180,1573
AMD1,308,9,375,10
AMD2,3525,1137,6942,1542
AMF1,6765,2056,16165,3872
AMN1,1353,823,670,782
AMS1,2799,428,749,1276
ANB1,1,0,0,1
ANR2,4189,1434,8489,3053
ANS1,861,505,388,415
ANY1,2250,1780,1105,1429
APA1,3010,2124,3653,4984
APA2,1592,738,663,566
APC9,3686,2578,1826,2274
APD1,2442,2492,1222,1973
APE1,1268,532,468,616
APE2,1143,509,499,379
APE3,1594,429,1418,296
APE4,4380,1898,7100,5978
APJ1,1196,120,1206,114
APL1,1825,1172,742,1347
APL2,3312,6891,2799,11990
APL4,4947,1425,7968,2193
APL5,1803,755,662,585
APL6,2726,1246,1356,1084
APM2,12962,23185,16445,12978
APM3,494,179,230,78
APM4,4,2,8,3
APN1,2509,688,4433,1121
APP1,396,90,206,50
APQ12,7095,1202,6936,654
APS1,2880,1951,1361,1296
APS2,708,353,351,259
APS3,798,482,329,294
APT2,33,6,6,11
AQR1,2041,160,4212,318
AQY2,3089,1389,1375,1903
AQY3,1628,1034,652,959
ARA2,1907,1425,746,924
ARC1,82,0,20,0
ARD1,123,0,74,0
ARE1,2349,1478,926,1261
ARE2,1157,1591,1206,1090
ARF1,1652,75,772,93
ARF3,2325,1626,1165,1086
ARG1,2021,1470,1052,1560
ARG2,1460,1139,672,1265
ARG3,1381,435,761,531
ARG4,1475,347,3546,699
ARG56,1477,728,955,928
ARG7,26,0,10,4
ARG80,1164,1057,557,810
ARG81,343,45,79,111
ARI1,3199,2810,1406,2501
ARK1,1126,694,491,479
ARL1,1703,700,1327,1399
ARN1,4019,4485,2867,3454
ARN2,18647,33186,23345,17224
ARO1,71,0,18,0
ARO10,1894,944,783,656
ARO2,768,164,716,418
ARO3,2421,1970,1102,1783
ARO5,40,14,23,12
ARO7,6738,4176,6902,3914
ARO8,22,4,6,0
ARO80,3711,2329,1650,2196
ARO9,545,107,620,82
ARP1,523,130,240,74
ARP6,733,134,328,344
ARP8,483,4,227,12
ART10,3311,1479,5371,2495
ART5,4,0,2,0
ARX1,1054,40,407,56
ASE1,1283,742,533,649
ASF1,209,3,72,0
ASG1,2389,2416,1174,1432
ASG7,18,0,36,14
ASH1,1037,452,427,331
ASI1,61,10,65,16
ASI2,23507,49068,29021,26078
ASI3,2750,2363,1153,2339
ASK10,1013,769,420,1608
ASN2,2832,2103,3510,3835
ASP1,3947,4551,2921,10298
ASR1,775,299,327,219
AST2,2737,1716,1489,1670
ATC1,1027,207,603,139
ATF1,1938,1557,883,1226
ATF2,669,603,257,797
ATG1,2384,1421,2098,1033
ATG10,4189,3291,1648,1265
ATG11,98,0,16,0
ATG12,1592,1203,556,476
ATG14,2368,355,3835,206
ATG15,2858,684,2384,596
ATG16,11576,7358,13181,7119
ATG18,4084,1793,3308,1418
ATG19,2128,1438,1151,1293
ATG20,230,32,55,6
ATG21,5517,1980,6523,1957
ATG23,3758,677,5738,345
ATG26,776,245,1174,397
ATG27,1426,792,662,1070
ATG29,2386,1881,1101,1046
ATG3,1285,929,488,676
ATG31,1770,1477,842,704
ATG32,2171,1461,1363,1162
ATG33,5722,3773,6339,5892
ATG34,75,6,31,12
ATG36,4262,2493,7076,7174
ATG38,3079,2359,2422,2908
ATG39,2651,1318,1904,1509
ATG40,1220,1106,603,771
ATG41,23,0,2,2
ATG42,1442,787,557,523
ATG5,2522,550,5073,1005
ATG7,2903,2303,3700,4191
ATG9,2322,1020,1295,457
ATH1,266,4,68,45
ATO2,673,468,329,382
ATO3,297,38,145,118
ATP1,8,0,0,0
ATP10,84,18,16,0
ATP18,478,61,70,9
ATP19,7724,6265,4076,6120
ATP20,623,145,171,47
ATP22,10,0,0,0
ATP23,23,0,0,0
ATP25,30,0,2,0
ATR1,416,130,145,109
ATR2,1221,640,548,479
ATS1,1012,106,1620,247
ATX1,2100,136,964,452
ATX2,1211,539,501,594
AUS1,1566,1113,638,612
AVL9,54,2,10,2
AVO2,1264,73,880,614
AVT1,1539,693,613,693
AVT2,1373,226,421,379
AVT4,2944,2445,3817,4738
AVT6,2500,1719,1205,1348
AVT7,3361,2665,2408,2032
AXL2,1481,1325,759,1247
AYR1,2857,2176,3578,4466
AYT1,3385,2668,1411,1859
AZF1,3007,1014,6796,1957
BAG7,1354,1397,1847,3056
BAP2,2575,1581,1115,1136
BAP3,1712,1600,725,1552
BAR1,4,0,0,1
BAT2,856,690,310,886
BBC1,1386,597,476,403
BCH1,4032,2654,1554,1896
BCH2,685,10,1368,23
BCK1,1425,508,505,426
BCS1,64,10,14,6
BDF2,978,554,369,422
BDH1,12378,8557,20373,17319
BDH2,53246,123147,70890,116478
BEM1,190,0,94,0
BEM2,11640,2067,10426,2982
BEM3,0,0,1,0
BEM4,1164,35,402,41
BER1,4503,2216,3843,1278
BET1,3654,14144,2760,24927
BFA1,962,101,349,698
BGL2,1695,98,455,406
BIK1,216,10,108,10
BIM1,6240,663,8170,2605
BIO2,3222,1905,1359,1277
BIO3,3387,2485,1448,2176
BIO4,4624,2391,7495,3307
BIO5,4642,3121,7270,4962
BIT2,2597,1686,1176,1295
BIT61,847,477,421,351
BLI1,715,648,289,736
BLM10,4690,999,3349,1344
BLS1,1710,1236,702,899
BMH1,11277,6301,15631,6656
BMH2,886,428,248,252
BMT2,4055,1328,2164,1818
BMT5,2278,1537,1102,980
BMT6,1570,807,690,715
BNA2,1215,957,563,898
BNA3,904,559,382,431
BNA4,536,500,215,332
BNA5,12776,14260,12413,10261
BNA7,6689,7676,3992,7884
BNI1,2407,494,1025,444
BNI5,6767,3284,10035,5352
BNR1,1234,974,587,904
BOI2,2046,1548,744,1187
BOL1,13706,9067,5939,7849
BOL2,2,0,0,4
BOL3,10775,3515,13973,4834
BOP2,2705,4359,1905,7468
BOR1,7174,5231,4846,4892
BPH1,3620,3156,1606,2286
BPT1,2541,1425,2431,2011
BRE1,4848,11033,3506,21876
BRE2,9289,3578,10215,4805
BRE4,3010,948,6648,1759
BRR1,905,285,408,248
BSC1,3795,1777,1889,2114
BSC2,3331,889,6304,1267
BSC4,4283,2805,1983,2110
BSC6,751,577,271,443
BSD2,2883,930,1333,629
BST1,833,129,439,91
BTN2,1112,1132,510,1068
BTT1,4163,500,5617,1151
BUB1,92,2,32,0
BUB2,10124,16729,9327,8797
BUD14,8,0,6,0
BUD16,4031,196,1847,3047
BUD17,1491,118,1201,748
BUD2,1072,953,439,644
BUD22,8,0,0,10
BUD26,1091,159,436,71
BUD27,295,16,92,4
BUD3,1032,949,454,787
BUD31,229,0,76,0
BUD6,1917,727,1431,800
BUD7,431,39,577,182
BUD8,2164,1391,858,1175
BUD9,721,760,235,451
BUG1,2051,242,774,133
BUL1,1220,102,498,139
BUL2,3546,1821,1922,1333
BXI1,2543,1409,1002,1095
BYE1,2963,1216,4423,2935
BZZ1,2540,1458,3298,2482
CAC2,737,79,351,52
CAD1,6422,4468,4951,4359
CAF120,1101,289,391,485
CAF130,844,148,376,149
CAF16,1323,558,1406,1602
CAF4,34453,68997,45497,71629
CAF40,0,0,0,1
CAJ1,144,19,72,57
CAN1,1746,529,2488,534
CAP1,1811,311,853,261
CAP2,1656,4994,1574,11322
CAR1,4,2,4,3
CAR2,4275,1524,4719,2092
CAT2,3268,1095,7354,2166
CAT5,71,32,30,0
CBP2,28,8,10,0
CBP4,63,4,10,2
CBP6,1,0,0,0
CBR1,5064,3687,2823,3183
