sys_name	syn	std_name
YAL001C	TFC3	TFC3
YAL001C	YAL001C	TFC3
YAL002W	VPS8	VPS8
YAL002W	YAL002W	VPS8
YAL003W	EFB1	EFB1
YAL003W	YAL003W	EFB1
YAL005C	SSA1	SSA1
YAL005C	YAL005C	SSA1
YAL007C	ERP2	ERP2
YAL007C	YAL007C	ERP2
YAL008W	FUN14	FUN14
YAL008W	YAL008W	FUN14
YAL009W	SPO7	SPO7
YAL009W	YAL009W	SPO7
YAL010C	MDM10	MDM10
YAL010C	YAL010C	MDM10
YAL011W	SWC3	SWC3
YAL011W	YAL011W	SWC3
YAL012W	CYS3	CYS3
YAL012W	YAL012W	CYS3
YAL013W	DEP1	DEP1
YAL013W	YAL013W	DEP1
YAL014C	SYN8	SYN8
YAL014C	YAL014C	SYN8
YAL015C	NTG1	NTG1
YAL015C	YAL015C	NTG1
YAL016W	TPD3	TPD3
YAL016W	YAL016W	TPD3
YAL017W	PSK1	PSK1
YAL017W	YAL017W	PSK1
YAL018C	LDS1	LDS1
YAL018C	YAL018C	LDS1
YAL019W	FUN30	FUN30
YAL019W	YAL019W	FUN30
YAL020C	ATS1	ATS1
YAL020C	YAL020C	ATS1
YAL021C	CCR4	CCR4
YAL021C	YAL021C	CCR4
YAL022C	FUN26	FUN26
YAL022C	YAL022C	FUN26
YAL023C	PMT2	PMT2
YAL023C	YAL023C	PMT2
YAL024C	LTE1	LTE1
YAL024C	YAL024C	LTE1
YAL025C	MAK16	MAK16
YAL025C	YAL025C	MAK16
YAL026C	DRS2	DRS2
YAL026C	YAL026C	DRS2
YAL027W	SAW1	SAW1
YAL027W	YAL027W	SAW1
YAL028W	FRT2	FRT2
YAL028W	YAL028W	FRT2
YAL029C	MYO4	MYO4
YAL029C	YAL029C	MYO4
YAL030W	SNC1	SNC1
YAL030W	YAL030W	SNC1
YAL031C	GIP4	GIP4
YAL031C	YAL031C	GIP4
YAL032C	PRP45	PRP45
YAL032C	YAL032C	PRP45
YAL033W	POP5	POP5
YAL033W	YAL033W	POP5
YAL034W-A	MTW1	MTW1
YAL034W-A	YAL034W-A	MTW1
YAL035W	FUN12	FUN12
YAL035W	YAL035W	FUN12
YAL036C	RBG1	RBG1
YAL036C	YAL036C	RBG1
YAL037W	YAL037W	NA
YAL038W	CDC19	CDC19
YAL038W	YAL038W	CDC19
YAL039C	CYC3	CYC3
YAL039C	YAL039C	CYC3
YAL040C	CLN3	CLN3
YAL040C	YAL040C	CLN3
YAL041W	CDC24	CDC24
YAL041W	YAL041W	CDC24
YAL042W	ERV46	ERV46
YAL042W	YAL042W	ERV46
YAL043C	PTA1	PTA1
YAL043C	YAL043C	PTA1
YAL044C	GCV3	GCV3
YAL044C	YAL044C	GCV3
YAL045C	YAL045C	NA
YAL046C	BOL3	BOL3
YAL046C	YAL046C	BOL3
YAL047C	SPC72	SPC72
YAL047C	YAL047C	SPC72
YAL048C	GEM1	GEM1
YAL048C	YAL048C	GEM1
YAL049C	AIM2	AIM2
YAL049C	YAL049C	AIM2
YAL051W	OAF1	OAF1
YAL051W	YAL051W	OAF1
YAL053W	FLC2	FLC2
YAL053W	YAL053W	FLC2
YAL054C	ACS1	ACS1
YAL054C	YAL054C	ACS1
YAL055W	PEX22	PEX22
YAL055W	YAL055W	PEX22
YAL056W	GPB2	GPB2
YAL056W	YAL056W	GPB2
YAL058W	CNE1	CNE1
YAL058W	YAL058W	CNE1
YAL059W	ECM1	ECM1
YAL059W	YAL059W	ECM1
YAL060W	BDH1	BDH1
YAL060W	YAL060W	BDH1
YAL061W	BDH2	BDH2
YAL061W	YAL061W	BDH2
YAL062W	GDH3	GDH3
YAL062W	YAL062W	GDH3
YAL063C	FLO9	FLO9
YAL066W	YAL066W	NA
YAL067C	SEO1	SEO1
YAL067C	YAL067C	SEO1
YAR002W	NUP60	NUP60
YAR002W	YAR002W	NUP60
YAR003W	SWD1	SWD1
YAR003W	YAR003W	SWD1
YAR007C	RFA1	RFA1
YAR007C	YAR007C	RFA1
YAR008W	SEN34	SEN34
YAR008W	YAR008W	SEN34
YAR014C	BUD14	BUD14
YAR014C	YAR014C	BUD14
YAR015W	ADE1	ADE1
YAR015W	YAR015W	ADE1
YAR018C	KIN3	KIN3
YAR018C	YAR018C	KIN3
YAR019C	CDC15	CDC15
YAR019C	YAR019C	CDC15
YAR020C	PAU7	PAU7
YAR020C	YAR020C	PAU7
YAR023C	YAR023C	DFP1
YAR027W	UIP3	UIP3
YAR027W	YAR027W	UIP3
YAR028W	YAR028W	KTD1
YAR029W	YAR029W	DFP2
YAR031W	PRM9	PRM9
YAR031W	YAR031W	PRM9
YAR033W	MST28	MST28
YAR035W	YAR035W	YAT1
YAR035W	YAT1	YAT1
YAR042W	SWH1	SWH1
YAR042W	YAR042W	SWH1
YAR044W	YAR044W	NA
YAR047C	YAR047C	NA
YAR050W	FLO1	FLO1
YAR050W	YAR050W	FLO1
YAR071W	PHO11	PHO11
YAR073W	IMD1	IMD1
YBL001C	ECM15	ECM15
YBL001C	YBL001C	ECM15
YBL002W	HTB2	HTB2
YBL002W	YBL002W	HTB2
YBL003C	HTA2	HTA2
YBL003C	YBL003C	HTA2
YBL004W	UTP20	UTP20
YBL004W	YBL004W	UTP20
YBL005W	PDR3	PDR3
YBL005W	YBL005W	PDR3
YBL006C	LDB7	LDB7
YBL006C	YBL006C	LDB7
YBL007C	SLA1	SLA1
YBL007C	YBL007C	SLA1
YBL008W	HIR1	HIR1
YBL008W	YBL008W	HIR1
YBL009W	ALK2	ALK2
YBL009W	YBL009W	ALK2
YBL010C	LAA2	LAA2
YBL010C	YBL010C	LAA2
YBL011W	SCT1	SCT1
YBL011W	YBL011W	SCT1
YBL012C	YBL012C	NA
YBL013W	FMT1	FMT1
YBL013W	YBL013W	FMT1
YBL014C	RRN6	RRN6
YBL014C	YBL014C	RRN6
